Tickers,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Employees,Option/Short,Sales Surprise,SMA20,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS Surprise,SMA50,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS Growth next Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,SMA200,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Earnings,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W Range,52W High,52W Low,RSI (14),Recom,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR (14),Volatility,Target Price,Prev Close,Price,Change
UFCS,RUT,705.97M,50.12M,1.21B,31.01,-,-,0.64 (2.33%),"Nov 29, 2024",852,Yes / Yes,4.01%,23.21%,14.09,12.48,1.41,0.58,0.88,-,3.63,-,0.54,0.15,0.15,145.90%,29.90%,1.95,2.20,0.70,259.49%,12.98%,10.00%,-,0.93%,271.57%,10.93%,205.57%,17.84%,26.92%,17.65%,0.08%,64.84%,4.62%,1.65%,7.01%,5.55%,-,5.56%,4.15%,-,Nov 05 AMC,,25.27M,20.87M,2.41%,4.38,0.50M,18.04 - 25.88,5.99%,52.05%,78.42,3.00,1.40,114.75K,"160,200",7.65%,32.77%,38.33%,19.00%,38.54%,36.33%,0.41,0.94,3.25% 3.52%,26.00,25.42,27.43,7.91%
UFI,-,101.94M,-41.76M,590.74M,14.23,0.76,-,-,"Apr 29, 1998",2900,Yes / Yes,-0.43%,-10.71%,-,8.66,-,0.17,0.40,7.44,-,1.34,3.29,0.54,0.48,-68.00%,-15.92%,-2.30,0.65,-0.50,67.81%,186.67%,18.00%,-,-2.47%,19.84%,1.35%,43.02%,6.14%,-8.36%,19.90%,0.00%,53.27%,-9.01%,-8.49%,-14.79%,-10.84%,4.25%,-3.78%,-7.07%,-,Oct 30 AMC,,18.25M,14.63M,1.46%,3.65,0.21M,5.41 - 7.91,-28.82%,4.07%,31.23,3.00,1.00,58.63K,"58,403",-4.58%,-20.59%,1.99%,-10.49%,-14.44%,-15.47%,0.81,0.27,3.49% 4.00%,12.00,5.60,5.63,0.54%
UFPI,RUT,7.68B,431.19M,6.71B,52.28,20.71,-,1.29 (1.00%),"Dec 02, 2024",15800,Yes / Yes,-6.51%,-0.25%,17.86,17.62,1.05,1.14,2.47,6.24,14.46,3.25,4.31,0.13,0.11,-13.62%,-0.43%,7.24,7.33,1.24,-14.68%,6.53%,17.00%,27.41%,13.82%,-15.85%,-11.74%,-21.92%,-9.75%,7.46%,2.02%,-1.00%,83.61%,0.55%,10.49%,14.15%,12.29%,19.11%,7.94%,6.42%,13.64%,Oct 29 BMO,,61.62M,59.50M,1.50%,3.31,0.89M,107.49 - 139.54,-7.40%,20.21%,47.93,2.20,0.56,269.57K,"150,150",-6.17%,-3.54%,9.17%,7.53%,17.61%,2.92%,1.40,3.80,2.52% 2.61%,135.50,129.21,129.21,0.00%
UFPT,RUT,2.04B,54.21M,461.85M,42.89,2.24,-,-,-,3293,Yes / Yes,9.59%,-7.28%,39.86,30.35,-,4.42,6.50,124.71,44.87,1.43,2.57,0.69,0.64,28.49%,-9.61%,7.00,9.19,2.19,34.17%,10.66%,-,24.81%,18.83%,28.94%,18.48%,38.78%,44.04%,2.77%,3.98%,-33.93%,94.07%,-2.27%,10.44%,18.03%,10.03%,28.31%,16.03%,11.74%,0.00%,Nov 05 BMO,,7.64M,7.37M,8.35%,9.77,0.62M,152.43 - 366.41,-23.87%,83.00%,39.16,1.67,1.51,62.96K,"94,916",-18.79%,-7.77%,-15.22%,8.08%,77.51%,62.14%,0.95,16.89,6.87% 5.64%,381.00,294.93,278.94,-5.42%
UG,-,45.08M,3.48M,12.31M,2.48,2.14,-,0.60 (5.90%),"Jul 23, 2024",25,No / Yes,-,-15.50%,13.41,-,-,3.66,4.11,4.74,10.97,6.02,6.66,0.00,0.00,-,-24.70%,0.76,-,-,-,-,-,-9.92%,-2.88%,38.11%,11.51%,38.12%,0.08%,-3.26%,36.39%,0.00%,22.54%,-1.64%,27.41%,31.63%,30.62%,53.43%,31.53%,28.30%,17.80%,-,,4.59M,2.92M,0.68%,1.01,0.02M,6.75 - 16.25,-37.42%,50.67%,32.33,-,1.10,19.59K,"21,465",-1.64%,-26.52%,-20.36%,11.51%,31.06%,41.25%,0.78,0.91,7.31% 7.76%,-,9.55,10.17,6.49%
UGI,-,5.45B,673.00M,7.37B,21.66,0.95,1.50 (6.14%),1.50 (6.14%),"Sep 16, 2024",10500,Yes / Yes,-20.28%,1.51%,7.83,8.28,7.83,0.74,1.13,25.81,12.18,0.71,0.91,1.48,1.34,205.82%,0.75%,3.12,2.95,-0.29,3.52%,0.34%,1.00%,-,6.80%,148.47%,-31.79%,93.95%,-16.77%,0.98%,0.44%,0.00%,84.88%,5.19%,4.44%,14.88%,6.14%,44.80%,15.75%,9.13%,-,Nov 21 AMC,,214.69M,213.75M,3.42%,3.96,7.30M,21.47 - 26.15,-6.54%,13.83%,54.87,2.00,1.84,1.85M,"3,394,032",2.09%,-3.40%,-0.77%,-0.41%,12.73%,-0.65%,1.16,0.52,2.44% 1.97%,31.67,24.12,24.44,1.33%
UGP,-,3.53B,510.39M,25.46B,2.48,0.74,0.14 (4.30%),0.13 (3.87%),"Aug 19, 2024",10094,Yes / Yes,-0.99%,-9.57%,7.06,9.32,1.78,0.14,1.31,4.40,25.69,1.11,1.57,1.04,0.79,4.82%,-13.94%,0.46,0.35,0.09,-28.58%,12.59%,3.97%,8.97%,4.76%,18.87%,0.42%,-34.60%,-4.17%,-29.37%,-,-,4.66%,-3.56%,6.97%,19.49%,10.55%,7.27%,3.88%,2.00%,26.50%,Nov 13 AMC,,1.09B,1.09B,0.10%,0.88,1.14M,3.36 - 6.34,-48.94%,-3.57%,30.89,3.00,3.48,1.30M,"4,513,247",-10.00%,-11.48%,-25.35%,-32.64%,-35.59%,-40.22%,1.59,0.12,3.43% 2.79%,4.98,3.40,3.24,-4.71%
UGRO,-,16.02M,-15.68M,70.32M,1.51,0.06,-,-,-,130,Yes / Yes,-6.09%,-13.26%,-,-,-,0.23,0.93,23.21,-,0.93,0.94,0.24,0.07,-13.64%,-6.62%,-1.37,-0.24,-0.09,72.29%,47.83%,20.00%,-13.77%,36.50%,25.82%,12.08%,62.88%,-7.29%,-14.06%,21.40%,-1.06%,26.62%,-2.75%,-26.08%,-64.20%,-78.87%,13.62%,-19.47%,-22.30%,-,Aug 12,,12.07M,9.68M,3.02%,10.27,0.29M,1.02 - 2.84,-50.70%,37.25%,41.80,1.00,0.65,28.45K,"18,485",-3.45%,-14.63%,-4.76%,-17.65%,18.64%,0.00%,1.74,0.14,9.49% 10.15%,5.23,1.43,1.40,-2.10%
UHAL,-,11.76B,445.28M,5.73B,38.35,8.32,-,-,"Sep 02, 2022",34300,Yes / Yes,-1.65%,-6.06%,30.00,28.27,3.02,2.05,1.78,8.19,-,1.36,1.47,0.91,0.84,-33.58%,-7.65%,2.27,2.41,0.51,-9.05%,-12.84%,9.94%,-30.61%,8.85%,-39.75%,-0.50%,-33.20%,0.50%,0.61%,96.09%,0.00%,3.98%,-1.10%,2.27%,6.12%,3.22%,14.24%,13.92%,7.78%,0.00%,Nov 06 AMC,,19.61M,7.67M,18.62%,13.34,1.43M,54.11 - 79.04,-13.79%,25.93%,31.71,3.00,0.93,107.06K,"100,063",-8.84%,-6.08%,-2.03%,-0.76%,25.03%,-5.10%,1.11,1.75,2.50% 2.36%,77.10,68.86,68.14,-1.05%
UHAL-B,-,11.80B,445.28M,5.73B,38.35,7.39,-,0.20 (0.33%),"Dec 15, 2023",34300,Yes / Yes,-,-7.84%,26.73,-,-,2.06,1.58,8.22,-,1.36,1.47,0.91,0.84,-,-10.58%,2.27,-,-,-,-,-,-30.61%,8.85%,-39.75%,-0.50%,-33.20%,0.50%,-5.94%,49.46%,0.00%,32.61%,-0.98%,2.27%,6.12%,3.22%,14.24%,13.92%,7.78%,0.00%,-,,176.47M,99.10M,1.79%,8.71,1.78M,51.81 - 73.97,-17.94%,17.17%,29.06,-,2.31,203.87K,"471,709",-8.45%,-10.11%,-8.65%,-8.20%,16.93%,-13.83%,1.78,1.68,2.45% 2.58%,-,61.19,60.70,-0.80%
UHG,RUT,294.86M,-20.40M,445.73M,0.41,0.54,-,-,-,196,No / Yes,-,4.10%,-,-,-,0.66,15.12,11.42,-,0.27,1.79,7.29,3.52,-,6.25%,-0.59,-,-,-,-,-,-,-3.88%,-114.89%,46.31%,-106.45%,35.24%,-0.99%,91.82%,6.26%,6.46%,-17.58%,-7.56%,-74.85%,-22.83%,19.27%,3.54%,-4.58%,0.00%,Nov 08 BMO,,11.38M,3.96M,5.60%,6.35,0.22M,5.09 - 9.48,-34.81%,21.41%,53.89,-,0.90,34.92K,"31,251",-10.82%,7.29%,1.81%,17.71%,-13.93%,-26.69%,0.63,0.42,6.92% 7.16%,-,6.17,6.18,0.16%
UHS,S&P 500,11.66B,1.03B,15.42B,100.14,1.80,0.81 (0.41%),0.80 (0.40%),"Sep 03, 2024",96700,Yes / Yes,1.52%,-5.28%,13.17,10.92,0.54,0.76,1.98,109.93,12.19,1.28,1.39,0.77,0.76,-0.18%,-10.28%,15.03,18.13,4.18,51.14%,13.84%,24.55%,4.26%,5.83%,58.80%,9.93%,58.43%,11.23%,1.71%,15.83%,-0.28%,81.88%,-2.05%,7.27%,16.19%,8.84%,9.99%,9.99%,6.65%,7.82%,Oct 24 AMC,,59.93M,55.53M,2.22%,1.68,1.23M,132.74 - 243.25,-18.63%,49.12%,34.78,2.11,0.90,733.57K,"658,028",-5.09%,-16.36%,-13.02%,9.11%,47.22%,29.85%,1.30,6.29,2.43% 2.79%,246.86,201.69,197.94,-1.86%
UHT,RUT,558.14M,18.17M,98.69M,13.12,0.46,-,2.91 (7.21%),"Sep 16, 2024",-,Yes / Yes,-,-1.53%,30.74,-,-,5.66,3.08,87.62,12.88,-,-,2.08,2.08,-,-5.90%,1.31,-,-,-,-,-,-8.76%,4.68%,4.06%,3.47%,3.03%,1.12%,1.25%,8.08%,0.00%,64.23%,2.18%,3.05%,9.27%,3.25%,36.32%,39.74%,18.41%,258.34%,-,,13.82M,12.73M,1.03%,2.12,0.13M,32.27 - 47.30,-14.63%,25.11%,40.45,-,0.72,61.67K,"44,292",-5.81%,-4.18%,-6.61%,8.05%,0.57%,-6.64%,0.85,1.01,2.60% 2.65%,-,40.65,40.38,-0.66%
UI,-,19.80B,390.20M,2.02B,3.11,2.80,-,2.40 (0.72%),"Nov 18, 2024",1515,No / Yes,-0.49%,17.08%,51.95,35.55,5.41,9.82,107.74,119.87,28.45,1.05,2.54,3.19,2.99,31.29%,34.69%,6.45,9.43,2.04,51.89%,5.76%,9.60%,5.13%,12.31%,-3.02%,5.79%,45.75%,18.84%,99.85%,93.09%,0.00%,3.90%,-1.56%,30.65%,623.94%,51.99%,39.07%,26.78%,19.36%,41.46%,Nov 08 BMO,,60.46M,4.18M,6.41%,3.77,0.27M,104.24 - 355.31,-5.65%,221.58%,73.86,3.33,0.95,71.09K,"67,551",-1.51%,33.31%,88.27%,125.12%,189.36%,140.20%,1.08,13.27,3.98% 4.23%,310.50,335.14,335.22,0.02%
UIS,RUT,480.17M,-388.70M,2.02B,-2.92,5.70,-,-,"Jun 18, 1990",16500,Yes / Yes,2.16%,3.76%,-,7.20,-,0.24,-,1.28,8.99,1.57,1.61,-,-,-160.02%,14.81%,-5.66,1.02,0.30,-31.11%,145.97%,15.00%,-,-6.12%,-49.96%,0.29%,-22.06%,6.97%,35.86%,5.29%,-2.22%,84.16%,0.14%,-20.28%,-,-123.12%,29.52%,7.14%,-19.24%,-,Oct 29 AMC,,68.40M,65.69M,1.49%,1.58,0.98M,3.32 - 8.49,-13.78%,120.81%,53.77,3.00,0.85,618.86K,"523,838",-9.07%,6.24%,37.85%,49.69%,57.08%,30.25%,0.73,0.43,5.13% 6.62%,7.50,7.49,7.32,-2.27%
UK,-,0.92M,-2.31M,42.69M,3.27,14.44,-,-,-,269,No / Yes,-,-1.15%,-,-,-,0.02,0.38,0.09,-,0.65,0.65,4.48,1.89,-,-6.60%,-1.49,-,-,-,-,-,-250.49%,-9.00%,95.81%,-53.09%,-719.46%,12.70%,-33.46%,20.14%,0.00%,2.02%,-,-2.70%,-60.36%,-16.98%,1.46%,-31.10%,-5.41%,-,-,,0.61M,0.58M,4.72%,0.15,0.03M,1.12 - 6.85,-81.90%,10.71%,46.54,-,0.16,186.38K,"29,720",0.00%,-0.80%,-21.02%,-42.86%,-66.01%,-66.58%,0.48,0.11,6.32% 8.86%,-,1.22,1.24,1.64%
UL,-,143.35B,7.18B,65.19B,8.72,2.78,1.91 (3.30%),1.87 (3.22%),"Nov 08, 2024",128000,Yes / Yes,-0.11%,-3.65%,20.31,17.20,1.92,2.20,6.64,20.85,18.10,0.56,0.77,1.56,1.18,2.16%,-7.26%,2.85,3.37,-,11.91%,7.50%,10.56%,-7.51%,1.45%,-14.90%,2.29%,5.41%,2.29%,2.66%,0.00%,-,8.89%,0.38%,8.39%,33.57%,15.11%,-,17.95%,11.01%,65.90%,Jul 25 BMO,,2.50B,2.48B,0.09%,1.12,2.27M,46.46 - 65.87,-12.10%,24.64%,31.93,2.14,1.79,2.02M,"3,623,432",-0.57%,-8.02%,-5.64%,6.96%,21.36%,19.43%,0.48,0.80,0.92% 0.83%,64.06,57.40,57.90,0.87%
ULBI,RUT,120.30M,8.99M,165.15M,8.09,0.42,-,-,-,536,Yes / Yes,-,-10.80%,13.93,8.87,0.80,0.73,0.93,17.77,8.83,1.62,3.30,0.09,0.07,-,-15.63%,0.54,0.85,0.13,13.64%,70.00%,17.50%,-21.88%,13.81%,115.74%,9.95%,-81.25%,-9.61%,-23.55%,39.12%,0.06%,36.50%,13.52%,5.16%,7.02%,6.26%,25.56%,7.35%,5.44%,0.00%,Nov 08 BMO,,16.35M,10.12M,1.71%,2.79,0.17M,6.36 - 13.39,-43.69%,18.55%,34.47,1.00,1.04,61.94K,"64,253",-5.16%,-17.14%,-26.87%,-32.62%,2.31%,10.56%,0.97,0.43,4.43% 4.32%,14.00,7.36,7.54,2.45%
ULCC,RUT,1.26B,-6.00M,3.66B,2.45,2.53,-,-,-,7235,Yes / Yes,-0.88%,-14.28%,-,10.43,-,0.34,2.27,2.19,-,0.48,0.53,7.70,6.20,-110.08%,-2.68%,-0.03,0.53,0.04,-69.70%,1363.02%,-,-,20.07%,-109.88%,1.66%,179.50%,5.89%,-1.35%,64.17%,-0.02%,37.47%,-72.72%,-0.11%,-1.10%,-0.15%,-0.25%,-4.94%,-0.16%,-,Oct 29 BMO,,223.00M,80.74M,20.97%,7.50,16.93M,2.79 - 8.33,-33.37%,98.92%,40.35,3.09,3.20,2.26M,"7,221,407",-17.41%,-20.60%,59.94%,-9.02%,44.91%,1.65%,2.53,0.47,9.63% 7.02%,6.74,6.80,5.55,-18.38%
ULH,RUT,1.28B,131.14M,1.77B,23.98,0.90,-,0.42 (0.86%),"Dec 02, 2024",9311,No / Yes,-7.96%,5.94%,9.78,10.51,3.26,0.72,2.03,54.29,-,1.36,1.36,1.00,0.82,-14.41%,9.68%,4.98,4.63,0.93,44.19%,-9.04%,3.00%,13.95%,3.78%,24.86%,2.42%,14.97%,1.33%,20.50%,74.70%,0.00%,26.28%,1.76%,9.32%,22.98%,11.41%,15.12%,11.44%,7.40%,11.89%,Oct 24 AMC,,26.28M,6.66M,2.18%,3.69,0.15M,23.08 - 53.29,-8.65%,110.92%,57.30,3.00,1.09,39.47K,"43,046",-6.53%,11.37%,23.21%,2.40%,99.59%,73.73%,0.86,1.80,2.96% 3.68%,42.00,48.87,48.68,-0.39%
ULS,-,10.14B,303.00M,2.81B,4.36,1.63,0.47 (0.93%),0.25 (0.49%),"Nov 29, 2024",15233,Yes / Yes,3.04%,-2.01%,33.40,29.63,3.34,3.60,11.61,31.00,35.95,1.31,1.31,1.13,1.05,25.48%,-0.58%,1.51,1.71,0.38,10.63%,7.22%,10.00%,-,5.26%,8.21%,7.32%,66.04%,8.14%,11.09%,69.56%,-14.17%,32.66%,425.89%,10.66%,29.56%,16.97%,48.31%,15.42%,10.76%,-,Nov 05 BMO,,200.12M,60.93M,0.52%,0.37,0.32M,33.15 - 59.23,-14.57%,52.64%,45.46,2.00,0.48,869.87K,"416,580",-1.98%,-4.80%,-4.44%,33.16%,-,44.82%,-,1.58,2.71% 3.24%,57.44,49.97,50.60,1.26%
ULTA,S&P 500,15.88B,1.21B,11.32B,49.64,9.21,-,-,"Mar 16, 2012",56000,Yes / Yes,-1.83%,-6.18%,14.18,15.60,3.88,1.40,7.12,38.37,16.12,0.50,1.76,0.82,0.70,-2.67%,-6.89%,24.92,22.65,4.52,-11.16%,-2.05%,3.65%,18.93%,12.33%,-0.10%,5.51%,-11.99%,0.88%,-14.90%,0.24%,-1.05%,91.37%,-2.16%,22.02%,54.98%,30.27%,38.69%,14.03%,10.68%,0.00%,Dec 05 AMC,,48.32M,47.00M,5.24%,1.98,2.46M,318.17 - 574.76,-38.52%,11.06%,34.13,2.34,1.13,1.24M,"1,404,961",-7.15%,-4.22%,-4.25%,-8.58%,-12.87%,-27.89%,1.33,10.58,2.58% 2.42%,398.33,365.17,353.35,-3.24%
ULY,-,7.48M,92.45M,155.93M,-1.75,1.30,-,-,-,349,No / Yes,-0.42%,-13.25%,0.08,-,-,0.05,-,0.43,-,0.56,0.56,-,-,-17.91%,-19.79%,6.96,-0.53,-0.29,-111.24%,81.40%,-,-,12.38%,-,-,63.53%,-21.28%,-62.51%,31.09%,-3.79%,12.82%,-4.64%,185.20%,-,-,19.56%,-19.38%,59.29%,0.00%,Nov 12 AMC,,13.31M,9.25M,4.88%,0.85,0.45M,0.52 - 4.77,-88.26%,7.65%,41.11,1.00,0.03,532.38K,"16,095",1.71%,-15.51%,-37.97%,-73.96%,-85.99%,-82.34%,1.74,0.07,9.85% 12.37%,1.50,0.60,0.56,-6.50%
UMAC,-,16.69M,-5.87M,3.56M,3.11,0.27,-,-,-,3,No / Yes,-,23.34%,-,-,-,4.69,0.87,9.87,-,0.95,2.24,0.17,0.17,-,49.71%,-1.00,-,-,-,-,-,-,-50.00%,-351.68%,-100.00%,-753.94%,-,53.11%,49.36%,5.78%,2.02%,-,-44.39%,-55.73%,-26.07%,27.58%,-143.90%,-164.77%,-,Nov 14 AMC,,3.22M,3.13M,0.17%,0.07,0.01M,0.98 - 5.54,-51.26%,175.51%,60.33,1.00,1.29,82.07K,"106,263",-16.41%,71.97%,69.81%,125.00%,-,-10.89%,-,0.40,24.49% 18.24%,4.00,2.83,2.70,-4.59%
UMBF,RUT,5.85B,392.17M,2.71B,72.45,-,1.57 (1.29%),1.56 (1.29%),"Dec 10, 2024",3599,Yes / Yes,1.80%,5.60%,15.14,13.13,2.52,2.16,1.67,-,16.60,-,0.51,0.98,0.11,2.31%,11.03%,8.01,9.23,2.25,9.56%,3.52%,6.00%,12.81%,17.02%,2.87%,21.11%,12.82%,18.15%,31.91%,5.91%,-6.76%,103.42%,18.99%,0.88%,12.37%,10.00%,-,17.26%,14.48%,21.32%,Oct 29 AMC,,48.55M,45.91M,6.93%,8.16,3.18M,69.96 - 128.73,-5.81%,73.31%,61.65,1.43,0.57,389.53K,"223,172",-4.15%,10.88%,25.01%,41.23%,68.92%,45.12%,0.80,3.71,2.55% 2.95%,130.00,121.49,121.25,-0.20%
UMC,-,17.39B,1.62B,7.09B,4.64,1.44,0.45 (6.48%),0.46 (6.57%),"Jul 02, 2024",19833,Yes / Yes,2.30%,-3.36%,10.75,10.93,4.95,2.45,1.49,4.81,-,1.74,2.18,0.26,0.17,5.91%,-11.79%,0.65,0.63,0.14,-20.30%,1.30%,2.17%,52.18%,9.36%,-25.13%,-6.45%,-11.07%,3.94%,-14.43%,0.00%,-,6.53%,67.17%,9.23%,14.43%,11.87%,31.64%,21.96%,22.86%,44.27%,Oct 30 AMC,,2.51B,2.51B,2.34%,4.69,58.54M,6.78 - 9.00,-22.89%,2.36%,36.32,4.00,1.03,12.48M,"12,916,844",-0.72%,-10.22%,-20.87%,-17.48%,-8.68%,-17.97%,1.13,0.18,1.93% 2.05%,5.60,6.78,6.94,2.36%
UMH,RUT,1.48B,9.28M,235.66M,6.98,0.86,0.85 (4.45%),0.85 (4.44%),"Nov 15, 2024",480,Yes / Yes,4.34%,0.61%,152.80,70.85,25.47,6.28,2.74,22.19,17.60,-,-,0.72,0.72,358.33%,-0.45%,0.13,0.27,0.05,143.33%,315.38%,6.00%,38.20%,11.30%,151.58%,10.80%,219.20%,8.26%,11.98%,6.94%,-1.34%,76.36%,5.87%,1.93%,3.64%,0.63%,29.51%,22.33%,3.94%,-,Nov 06 AMC,,78.90M,73.42M,1.60%,2.77,1.18M,13.91 - 20.64,-7.29%,37.53%,50.70,1.67,0.38,424.40K,"162,386",-2.05%,0.90%,-0.05%,21.00%,34.43%,24.87%,1.28,0.44,1.64% 2.48%,21.81,19.16,19.13,-0.16%
UNB,-,140.39M,8.81M,74.58M,15.98,-,-,1.44 (4.65%),"Oct 25, 2024",197,No / Yes,-,5.23%,15.97,-,-,1.88,1.94,-,-,-,0.27,3.55,3.42,-,12.79%,1.94,-,-,-,-,-,9.39%,10.48%,-24.60%,17.75%,-47.89%,9.12%,16.90%,17.21%,0.00%,20.06%,-2.03%,0.60%,14.49%,2.76%,-,12.53%,11.81%,58.04%,Oct 16 AMC,,4.52M,3.75M,0.15%,0.91,0.01M,21.00 - 32.00,-3.12%,47.62%,69.76,3.00,0.69,6.24K,"4,334",0.98%,12.73%,28.05%,30.25%,13.01%,1.14%,0.73,0.97,3.44% 3.61%,40.00,30.89,31.00,0.36%
UNCY,-,48.51M,-30.02M,0.00M,0.28,0.30,-,-,-,14,No / Yes,-,-6.08%,-,-,-,-,1.60,1.50,-,3.61,3.61,0.03,0.01,67.60%,5.10%,-0.80,-0.23,-0.09,56.14%,58.74%,-,-77.09%,-5.80%,54.04%,-100.00%,65.93%,-,-41.75%,11.47%,0.00%,45.97%,-,-99.72%,-185.19%,-106.78%,57.93%,0.00%,-,-,Nov 13 BMO,,94.36M,83.53M,1.26%,0.59,1.05M,0.20 - 1.82,-74.97%,125.30%,47.91,1.00,0.56,1.80M,"1,015,328",-14.65%,6.08%,15.51%,-57.07%,-11.32%,-47.55%,2.24,0.05,14.05% 12.18%,6.14,0.46,0.46,-1.07%
UNF,RUT,3.48B,145.47M,2.43B,117.97,9.84,1.29 (0.66%),1.32 (0.68%),"Dec 06, 2024",16000,Yes / Yes,0.81%,2.51%,25.15,22.80,3.59,1.43,1.66,19.87,25.80,1.79,3.19,0.03,0.02,20.19%,2.59%,7.77,8.57,2.22,-6.97%,11.68%,7.00%,-3.60%,6.16%,40.54%,8.70%,62.47%,11.89%,11.34%,17.18%,-1.75%,81.62%,0.18%,5.52%,7.07%,6.74%,29.00%,7.56%,5.99%,16.99%,Oct 23 BMO,,15.00M,14.81M,1.41%,2.77,0.21M,149.58 - 205.38,-4.84%,30.66%,54.51,3.33,0.72,75.42K,"54,271",-4.07%,0.98%,6.58%,19.07%,13.65%,6.85%,0.83,5.06,2.48% 2.55%,185.50,196.02,195.44,-0.30%
UNFI,RUT,1.32B,-112.00M,30.98B,27.58,0.66,-,-,-,28333,Yes / Yes,2.70%,4.90%,-,21.16,-,0.04,0.79,33.11,-,0.52,1.44,2.16,2.05,112.24%,13.57%,-1.89,1.03,-0.02,290.49%,89.25%,-,19.41%,6.97%,-575.93%,2.34%,46.42%,9.95%,51.75%,2.84%,-1.39%,88.87%,3.50%,-1.41%,-6.62%,-2.24%,12.54%,0.50%,-0.36%,-,Dec 10 BMO,,59.50M,58.21M,6.78%,5.66,3.94M,8.58 - 23.15,-5.44%,155.13%,60.97,3.00,1.62,696.74K,"1,127,225",4.09%,1.67%,66.08%,97.21%,48.51%,34.87%,0.60,0.92,4.44% 3.80%,21.50,21.66,21.89,1.06%
UNH,"DJIA, S&P 500",541.80B,14.32B,392.72B,102.42,-,7.87 (1.34%),7.96 (1.35%),"Dec 09, 2024",440000,Yes / Yes,1.70%,1.26%,38.30,19.65,2.95,1.38,5.76,-,41.37,-,0.91,0.83,0.78,2.07%,1.19%,15.39,30.01,6.75,9.92%,8.69%,13.00%,14.37%,10.25%,-33.43%,9.66%,4.33%,10.35%,10.72%,0.24%,-0.23%,89.65%,1.27%,4.93%,15.99%,8.49%,-,7.90%,3.65%,30.55%,Oct 15 BMO,,924.00M,918.08M,0.77%,2.32,7.06M,436.38 - 630.73,-6.51%,35.12%,51.41,1.47,0.85,3.05M,"2,576,720",-5.69%,3.52%,1.55%,14.00%,9.23%,12.00%,0.58,12.96,1.86% 1.87%,628.32,592.23,589.65,-0.44%
UNIT,RUT,1.43B,100.71M,1.16B,-10.43,0.21,0.34 (5.90%),0.45 (7.87%),"Jun 14, 2024",813,Yes / Yes,0.81%,1.65%,13.74,13.68,4.58,1.23,-,26.78,-,-,-,-,-,-45.65%,3.51%,0.42,0.42,0.10,213.71%,5.03%,3.00%,-,2.48%,390.97%,-19.03%,114.59%,0.55%,19.96%,6.62%,-0.17%,82.75%,-4.02%,2.00%,-,2.84%,42.70%,30.64%,8.69%,-,Oct 31 BMO,,236.56M,227.96M,5.81%,5.13,13.24M,2.57 - 6.71,-14.75%,122.57%,53.33,2.60,0.79,2.58M,"2,027,820",-4.98%,1.78%,29.71%,58.01%,11.07%,-1.04%,1.35,0.25,4.65% 4.44%,5.70,5.59,5.72,2.33%
UNM,-,13.43B,1.76B,12.82B,59.36,-,1.59 (2.20%),1.57 (2.16%),"Oct 25, 2024",10812,Yes / Yes,-1.29%,8.62%,7.86,8.04,0.98,1.05,1.22,-,12.57,-,-,0.32,0.32,1.23%,16.54%,9.24,9.03,2.14,11.58%,5.65%,8.00%,22.26%,1.53%,48.54%,4.60%,237.18%,4.34%,33.08%,0.88%,-6.40%,87.51%,-2.18%,3.30%,17.12%,12.21%,-,19.69%,13.74%,21.39%,Oct 29 AMC,,193.37M,181.01M,1.07%,1.56,1.93M,41.86 - 73.24,-0.90%,73.39%,77.63,2.00,1.05,1.24M,"1,306,403",3.36%,14.08%,34.26%,38.49%,72.48%,60.50%,0.75,1.35,1.46% 1.66%,72.67,73.19,72.58,-0.83%
UNP,S&P 500,142.11B,6.64B,24.29B,27.33,1.60,5.31 (2.27%),5.24 (2.24%),"Aug 30, 2024",31490,Yes / Yes,-0.81%,-0.84%,21.54,19.23,2.37,5.85,8.58,146.65,25.72,0.63,0.77,1.97,1.85,-0.93%,-2.95%,10.88,12.19,2.77,5.14%,10.98%,9.10%,5.74%,1.55%,4.52%,0.61%,9.57%,2.52%,-2.53%,0.23%,-0.25%,81.24%,1.29%,9.90%,43.40%,14.04%,45.18%,39.39%,27.33%,49.74%,Oct 24 BMO,,609.70M,604.87M,0.83%,2.10,5.01M,216.79 - 258.66,-9.38%,8.13%,44.03,1.97,0.59,2.39M,"1,401,304",-3.12%,-3.97%,-4.90%,-3.78%,6.86%,-4.56%,1.05,4.66,1.56% 1.73%,269.92,235.57,234.41,-0.49%
